categoryNo,asinNo,sellerNo,ASIN,sellerID,country,rate
0,0,0,B016MO90GW,A3VIZVBY06QYHB,HK,46194
0,1,0,B00X9XD1LK,A8KICS1PHF7ZO,NoCountry,111325
0,1,1,B00X9XD1LK,A8KICS1PHF7ZO,NoCountry,111325
0,1,2,B00X9XD1LK,None,NoCountry,NoFeedback
0,2,0,B00TFGVULI,A8KICS1PHF7ZO,NoCountry,111325
0,2,1,B00TFGVULI,None,NoCountry,NoFeedback
0,2,2,B00TFGVULI,A11MY3TYL9BJP7,DE,664
0,2,3,B00TFGVULI,A32200K20QA0AM,NoCountry,579
0,2,4,B00TFGVULI,AXKYEO2EE4B65,DE,2412
0,2,5,B00TFGVULI,AO9LB2O5B5F9V,DE,95
0,2,6,B00TFGVULI,A2NBAMV036UYGJ,ES,2
0,2,7,B00TFGVULI,A3JZUM3MNJ29JV,AT,85
0,2,8,B00TFGVULI,A2EET48QXHCBTF,IT,477
0,2,9,B00TFGVULI,AKSTH4FKHUW8K,IT,5
0,3,0,B00TFGWAA8,A8KICS1PHF7ZO,NoCountry,111325
0,3,1,B00TFGWAA8,A3E5LBYIZS99H6,NoCountry,44
0,3,2,B00TFGWAA8,AVNQERNP6H90Y,NoCountry,5
0,3,3,B00TFGWAA8,None,NoCountry,NoFeedback
0,3,4,B00TFGWAA8,A32200K20QA0AM,NoCountry,579
0,3,5,B00TFGWAA8,AXKYEO2EE4B65,DE,2412
0,3,6,B00TFGWAA8,AO9LB2O5B5F9V,DE,95
0,3,7,B00TFGWAA8,A11MY3TYL9BJP7,DE,664
0,3,8,B00TFGWAA8,A3S0ZLLF2YJLGX,CH,138
0,3,9,B00TFGWAA8,AZ7780AE06XDM,DE,NoFeedback
0,4,0,B00IMSG2IQ,A22H6OV6Q7XBYK,HK,26817
0,5,0,B00TFGYBYQ,None,NoCountry,NoFeedback
0,5,1,B00TFGYBYQ,A1BHN9FDGPB81H,DE,2029
0,5,2,B00TFGYBYQ,A32200K20QA0AM,NoCountry,579
0,5,3,B00TFGYBYQ,AXKYEO2EE4B65,DE,2412
0,5,4,B00TFGYBYQ,AO9LB2O5B5F9V,DE,95
0,5,5,B00TFGYBYQ,A2E0EBN9P6WGXO,DE,72
0,5,6,B00TFGYBYQ,A2NBAMV036UYGJ,ES,2
0,5,7,B00TFGYBYQ,A22AQEO4G9KSH0,ES,8
0,5,8,B00TFGYBYQ,A2EET48QXHCBTF,IT,477
0,5,9,B00TFGYBYQ,A27FTIWNB8UA5X,IT,10
0,6,0,B01794WKVQ,A2X2NO3429IQ5W,DE,28581
0,7,0,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,1,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,2,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,3,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,4,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,5,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
0,7,6,B010RWAIAC,A8KICS1PHF7ZO,NoCountry,111325
