sellerID , china_Seller , seller_rate , category , asin , product_url , offerList_url , sellers_url , RunTime
AX13GFUEKMNLN , HK , 1402 , ce-de/364935031 , B01ETFR3MO , http://www.amazon.de/gp/product/B01ETFR3MO , http://www.amazon.de/gp/offer-listing/B01ETFR3MO/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=AX13GFUEKMNLN , 2017-01-11 10:01:33
A22H6OV6Q7XBYK , HK , 26647 , ce-de/364935031 , B01AHQY8MW , http://www.amazon.de/gp/product/B01AHQY8MW , http://www.amazon.de/gp/offer-listing/B01AHQY8MW/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A22H6OV6Q7XBYK , 2017-01-11 10:02:02
A11R0EQ58D7L78 , CN , 7281 , ce-de/364935031 , B01DEI3CQS , http://www.amazon.de/gp/product/B01DEI3CQS , http://www.amazon.de/gp/offer-listing/B01DEI3CQS/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A11R0EQ58D7L78 , 2017-01-11 10:03:04
A2GISN0JYR3K50 , CN , NoFeedback , ce-de/364935031 , B01DEI3CQS , http://www.amazon.de/gp/product/B01DEI3CQS , http://www.amazon.de/gp/offer-listing/B01DEI3CQS/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A2GISN0JYR3K50 , 2017-01-11 10:03:11
A22H6OV6Q7XBYK , HK , 26647 , ce-de/364935031 , B019YV3YJ4 , http://www.amazon.de/gp/product/B019YV3YJ4 , http://www.amazon.de/gp/offer-listing/B019YV3YJ4/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A22H6OV6Q7XBYK , 2017-01-11 10:05:19
A2GV9O016R4U2I , HK , 368 , ce-de/364935031 , B01HER16PY , http://www.amazon.de/gp/product/B01HER16PY , http://www.amazon.de/gp/offer-listing/B01HER16PY/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A2GV9O016R4U2I , 2017-01-11 10:05:58
A22H6OV6Q7XBYK , HK , 26647 , ce-de/364935031 , B01CZFIFDG , http://www.amazon.de/gp/product/B01CZFIFDG , http://www.amazon.de/gp/offer-listing/B01CZFIFDG/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A22H6OV6Q7XBYK , 2017-01-11 10:07:04
A11R0EQ58D7L78 , CN , 7281 , ce-de/364935031 , B011TG51HU , http://www.amazon.de/gp/product/B011TG51HU , http://www.amazon.de/gp/offer-listing/B011TG51HU/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A11R0EQ58D7L78 , 2017-01-11 10:07:23
A11R0EQ58D7L78 , CN , 7281 , ce-de/364935031 , B011TG51HU , http://www.amazon.de/gp/product/B011TG51HU , http://www.amazon.de/gp/offer-listing/B011TG51HU/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A11R0EQ58D7L78 , 2017-01-11 10:07:31
A22H6OV6Q7XBYK , HK , 26647 , ce-de/364935031 , B0109XYZ94 , http://www.amazon.de/gp/product/B0109XYZ94 , http://www.amazon.de/gp/offer-listing/B0109XYZ94/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A22H6OV6Q7XBYK , 2017-01-11 10:09:51
