sellerID , china_Seller , seller_rate , category , asin , product_url , offerList_url , sellers_url , RunTime
A9M0EGF97CWIX , CN , 2757 , ce-de/316875011 , B01F91ZIGA , http://www.amazon.de/gp/product/B01F91ZIGA , http://www.amazon.de/gp/offer-listing/B01F91ZIGA/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A9M0EGF97CWIX , 2017-01-11 16:31:12
A9M0EGF97CWIX , CN , 2757 , ce-de/316875011 , B01F91ZIGA , http://www.amazon.de/gp/product/B01F91ZIGA , http://www.amazon.de/gp/offer-listing/B01F91ZIGA/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A9M0EGF97CWIX , 2017-01-11 16:31:20
A3MANC1Z741B8H , HK , 4531 , ce-de/1382760031 , B00M7PTJZ8 , http://www.amazon.de/gp/product/B00M7PTJZ8 , http://www.amazon.de/gp/offer-listing/B00M7PTJZ8/ref=olp_page_2&startIndex=10 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A3MANC1Z741B8H , 2017-01-11 16:59:27
A2VAVN6KK9G9JN , CN , 746 , ce-de/1382760031 , B00M7PTJZ8 , http://www.amazon.de/gp/product/B00M7PTJZ8 , http://www.amazon.de/gp/offer-listing/B00M7PTJZ8/ref=olp_page_2&startIndex=10 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A2VAVN6KK9G9JN , 2017-01-11 16:59:38
A3E5NZYQ483TI5 , CN , 169 , ce-de/1382760031 , B01N648QFO , http://www.amazon.de/gp/product/B01N648QFO , http://www.amazon.de/gp/offer-listing/B01N648QFO/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A3E5NZYQ483TI5 , 2017-01-11 17:03:18
A3E5NZYQ483TI5 , CN , 169 , ce-de/1382760031 , B01N648QFO , http://www.amazon.de/gp/product/B01N648QFO , http://www.amazon.de/gp/offer-listing/B01N648QFO/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A3E5NZYQ483TI5 , 2017-01-11 17:03:27
A3E5NZYQ483TI5 , CN , 169 , ce-de/1382760031 , B01N648QFO , http://www.amazon.de/gp/product/B01N648QFO , http://www.amazon.de/gp/offer-listing/B01N648QFO/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A3E5NZYQ483TI5 , 2017-01-11 17:03:32
A22H6OV6Q7XBYK , HK , 26672 , ce-de/1382760031 , B01M59FPSP , http://www.amazon.de/gp/product/B01M59FPSP , http://www.amazon.de/gp/offer-listing/B01M59FPSP/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A22H6OV6Q7XBYK , 2017-01-11 17:06:12
AE42YMUSV1M9B , CN , 70 , ce-de/1382760031 , B00M7PTJZ8 , http://www.amazon.de/gp/product/B00M7PTJZ8 , http://www.amazon.de/gp/offer-listing/B00M7PTJZ8/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=AE42YMUSV1M9B , 2017-01-11 17:34:52
A33P2CAQVIDUOU , CN , 67 , ce-de/1382760031 , B00M7PTJZ8 , http://www.amazon.de/gp/product/B00M7PTJZ8 , http://www.amazon.de/gp/offer-listing/B00M7PTJZ8/ref=olp_page_1&startIndex=0 , https://www.amazon.de/gp/aag/details/ref=olp_merch_cust_glance_1?seller=A33P2CAQVIDUOU , 2017-01-11 17:34:59
